Sippel,9,2006.53,2006.53,0,0,0
Sommer,9,2007.65,287.567,0,0,0
Stindl,9,1999.43,2004.52,0,0,0
Thuram,9,2046.86,2015.25,0,0,0
Traore,9,1982.47,1982.47,0,0,0
Villalba,9,1982.47,1982.47,0,0,0
Wendt,9,1978.42,1978.42,0,0,0
Akpoguma,10,1997.05,1990.57,0,0,0
Baumann,10,2046.44,292.216,0,0,0
Baumgartner,10,2073.08,2115.75,0,0,0
Bebou,10,2019.14,2069.31,0,0,0
Beier,10,1976.58,1976.58,0,0,0
Bikakcic,10,1997.94,1997.94,0,0,0
Bruun_Larsen,10,1990.55,2001.31,0,0,0
Che,10,2014.07,2014.07,0,0,0
Dabbur,10,2006.77,2033.84,0,0,0
Geiger,10,2000.95,2000.95,0,0,0
Grillitsch,10,2070.57,2055.08,0,0,0
Hubner,10,1989.31,1980.1,0,0,0
Kaderabek,10,2022.96,2042.42,0,0,0
Kramaric,10,2017.74,2080.69,0,0,0
Nordtveit,10,2003.8,2003.8,0,0,0
Nuhu,10,2021.44,2021.44,0,0,0
Pentke,10,1977.77,1784.06,0,0,0
Posch,10,2022.3,2032.21,0,0,0
Raum,10,1949.35,1960.68,0,0,0
Richards,10,2043.2,2059.9,0,0,0
Rudy,10,1992.45,1992.45,0,0,0
Rutter,10,1969.21,1975.86,0,0,0
Samassekou,10,2055.37,2055.37,0,0,0
Sessegnon,10,1985.02,1998.98,0,0,0
Skov,10,2020.48,2025.73,0,0,0
Stiller,10,1986.05,1975.38,0,0,0
Vogt,10,1964.67,1971.73,0,0,0
Agu,11,2038.82,2038.82,0,0,0
Augustinsson,11,2020.29,2001.02,0,0,0
Bittencourt,11,2001.66,2001.66,0,0,0
Dinkci,11,2018.31,2018.31,0,0,0
Erras,11,2017.18,2017.18,0,0,0
Friedl,11,2027.95,2027.95,0,0,0
Fullkrug,11,2020.84,2005.61,0,0,0
Gebre_Selassie,11,2032.3,2013.03,0,0,0
Gross,11,1972.18,1972.18,0,0,0
Mbom,11,2045.38,2045.38,0,0,0
Moisander,11,2011.76,1992.5,0,0,0
Osako,11,1993.71,1993.71,0,0,0
Pavlenka,11,2049.76,1652.11,0,0,0
Rashica,11,2003.31,2003.31,0,0,0
Sargent,11,2023.6,2008.37,0,0,0
Schmid,11,2037.46,2037.46,0,0,0
Toprak,11,2009.54,2018.54,0,0,0
Veljkovic,11,2035.46,2027.15,0,0,0
Woltemade,11,2017.18,2017.18,0,0,0
Zetterer,11,2017.18,2017.18,0,0,0
Bazee,12,1981.49,1981.49,0,0,0
Caligiuri,12,1961.16,1961.16,0,0,0
Cordova,12,1972.84,1976.13,0,0,0
Dorsch,12,1999.88,1999.88,0,0,0
Finnbogason,12,1976.03,1976.03,0,0,0
Framberger,12,2019.63,1999.93,0,0,0
Gikiewicz,12,2018.47,285.327,0,0,0
Gouweleeuw,12,2021.63,1993.91,0,0,0
Gregoritsch,12,1998.97,2030.52,0,0,0
Gruezo,12,1953.88,1953.88,0,0,0
Gumny,12,2021.33,2006.65,0,0,0
Hahn,12,1982.3,1993.98,0,0,0
Iago,12,2039.16,2007.43,0,0,0
Jensen,12,1973.52,1973.52,0,0,0
Koubek,12,1981.49,1981.49,0,0,0
Maier,12,1981.08,1981.08,0,0,0
Moravek,12,2007.66,2007.66,0,0,0
Niederlechner,12,1994.49,2016.34,0,0,0
Oxford,12,2043.12,1997.47,0,0,0
Pedersen,12,1959.61,1966.9,0,0,0
Pepi,12,2000.49,1999.99,0,0,0
Seong-Hoon,12,1981.49,1981.49,0,0,0
Strobl,12,1972.14,1972.14,0,0,0
Suchy,12,1978.77,1978.77,0,0,0
Uduokhai,12,1994.44,2018.81,0,0,0
Vargas,12,1962.6,1963.53,0,0,0
Winther,12,1985.43,2000.35,0,0,0
Zeqiri,12,2009.57,2012.27,0,0,0
Andersson,13,1993.6,1984,0,0,0
Arokodare,13,1990.32,1990.32,0,0,0
Arrey_Mbi,13,1999.09,1999.09,0,0,0
Chabot,13,2009.07,2009.07,0,0,0
Dennis,13,1994.64,1994.64,0,0,0
Drexler,13,2007.35,2001.45,0,0,0
Duda,13,2016.52,2022.84,0,0,0
Ehizibue,13,1956.83,1982.36,0,0,0
Hector,13,2020.1,1981.46,0,0,0
Hoger,13,1980.5,1980.5,0,0,0
Horn,13,1997.92,710.767,0,0,0
Horn,13,1958.18,1970.57,0,0,0
Huebers,13,1964.31,1915.59,0,0,0
Jakobs,13,2030.4,2014.55,0,0,0
Kainz,13,2043.36,2038.5,0,0,0
Kilian,13,1994.37,1975.34,0,0,0
Limnios,13,1986.67,1986.67,0,0,0
Ljubicic,13,2035.39,2050.02,0,0,0
Meyer,13,1975.95,1975.95,0,0,0
Modeste,13,2015.49,2049.69,0,0,0
Ozcan,13,2010.7,2010.7,0,0,0
Perez,13,1983.93,1984.96,0,0,0
Schaub,13,2019.07,2019.07,0,0,0
Schindler,13,1916.61,1914.55,0,0,0
Schmitz,13,2033.52,1992.33,0,0,0
Schwaebe,13,2028.47,787.147,0,0,0
Skhiri,13,2013.87,2014.46,0,0,0
Thielmann,13,2012.2,2017.32,0,0,0
Uth,13,1966.8,2019.81,0,0,0
Zieler,13,1990.32,1990.32,0,0,0
Albrecht,14,1974.59,1974.59,0,0,0
Alderette,14,2003.49,1979.25,0,0,0
Ascacibar,14,1997.71,1997.71,0,0,0
Belfodil,14,1963.65,2009.8,0,0,0
Bjoerkan,14,1998.09,1998.09,0,0,0
Boyata,14,2000.18,1978.05,0,0,0
Cordoba,14,1987.44,1980.87,0,0,0
Cunha,14,1982.32,1984.37,0,0,0
Dardai,14,1992.81,2000.15,0,0,0
Darida,14,1995.94,1995.94,0,0,0
Dilrosun,14,1978.88,1999.11,0,0,0
Ekkelenkamp,14,2008.82,2006.85,0,0,0
Gechter,14,2006.76,2011.45,0,0,0
Guendouzi,14,2025.93,2025.93,0,0,0
Jarstein,14,1994.22,1994.22,0,0,0
Jovetic,14,2005.96,2017.83,0,0,0
K.Boateng,14,2002.1,2002.1,0,0,0
Kempf,14,2009.73,2016.13,0,0,0
Klunter,14,2046.41,2019.8,0,0,0
Leckie,14,1965.18,1954.62,0,0,0
Lee,14,2008.07,2008.07,0,0,0
Maolida,14,2004.55,2007.23,0,0,0
Mittelstadt,14,1967.54,1995.05,0,0,0
Ngankam,14,1964.06,1950.18,0,0,0
Nsona,14,1998.09,1998.09,0,0,0
Pekarik,14,1981.38,1972.61,0,0,0
Plattenhardt,14,1979.05,1985.41,0,0,0
Radonkic,14,1971.95,1978.08,0,0,0
Redan,14,1974.59,1974.59,0,0,0
Richter,14,2004.79,2048.81,0,0,0
Schwolow,14,1997.09,230.969,0,0,0
Selke,14,2003.93,1987.01,0,0,0
Serdar,14,1940.82,1967.82,0,0,0
Stark,14,1981.97,1986.56,0,0,0
Tousart,14,1967.47,1982.4,0,0,0
Andrade,15,2021.27,2007.16,0,0,0
Bello,15,1998.09,1998.09,0,0,0
Brunner,15,2067.18,2035.32,0,0,0
Castro,15,2025.78,2025.78,0,0,0
Consbruch,15,1973.64,1973.64,0,0,0
De_Medina,15,1947.41,1946.93,0,0,0
Doan,15,1927.33,1927.24,0,0,0
Edmundsson,15,1973.64,1973.64,0,0,0
Frommann,15,1973.64,1973.64,0,0,0
Gebauer,15,1969.35,1969.35,0,0,0
Hack,15,1916.26,1921.17,0,0,0
Hartel,15,1945.47,1945.47,0,0,0
Ince,15,1998.09,1998.09,0,0,0
Kapino,15,1942.71,1405.86,0,0,0
Klos,15,1941.76,1937.55,0,0,0
Krueger,15,1908.19,1962.28,0,0,0
Kunze,15,1969.89,1969.89,0,0,0
Lasme,15,1929.72,1923.96,0,0,0
Laursen,15,1981.89,1960.97,0,0,0
Nilsson,15,2060.07,2027.67,0,0,0
Okugawa,15,2040.52,2037.9,0,0,0
Ortega_Moreno,15,2026.26,314.995,0,0,0
Pieper,15,2035.81,1998.24,0,0,0
Prietl,15,1991.47,1991.47,0,0,0
Ramos,15,2010.76,2009.03,0,0,0
Rehnen,15,1973.64,1973.64,0,0,0
Schipplock,15,1961.23,1961.23,0,0,0
Schopf,15,1983.71,1983.71,0,0,0
Serra,15,1949.9,1994.12,0,0,0
Soukoou,15,1957.8,1957.8,0,0,0
Van_der_Hoorn,15,1953.06,1953.06,0,0,0
Vasilladis,15,2017.31,2017.31,0,0,0
Vlap,15,1966.07,1966.07,0,0,0
Wimmer,15,1932.57,1974.8,0,0,0
Yabo,15,1979.78,1979.78,0,0,0
Barreiro,16,2085.59,2085.59,0,0,0
Bell,16,2044.22,2050.42,0,0,0
Boetius,16,1978.24,1978.33,0,0,0
Brosinski,16,1962.47,1956.25,0,0,0
Burgzorg,16,2009.08,2009.08,0,0,0
Burkardt,16,1988.39,1991.55,0,0,0
Caricol,16,2008.1,2008.1,0,0,0
Dahmen,16,1960.56,1765.35,0,0,0
Fernandes,16,1961.95,1961.95,0,0,0
Glatzel,16,1983.51,1986.24,0,0,0
Hack,16,2011.34,1998.72,0,0,0
Hanin,16,1980.46,1980.46,0,0,0
Ingvartsen,16,1983.41,1979.58,0,0,0
Kohr,16,2055.32,2055.32,0,0,0
Latza,16,2011.66,2011.66,0,0,0
Lee,16,1917.01,1914.21,0,0,0
Lucoqui,16,2038.89,2012.2,0,0,0
Malong,16,1950.8,1950.8,0,0,0
Martin,16,2010.77,2010.77,0,0,0
Mwene,16,2076.99,2076.99,0,0,0
Nebel,16,1980.14,1980.14,0,0,0
Niakhate,16,2059.84,2050.98,0,0,0
Onisiwo,16,2030.82,2041.24,0,0,0
Papela,16,1980.46,1980.46,0,0,0
Quaison,16,1969.91,1970.11,0,0,0
St_Juste,16,2031.76,2026.73,0,0,0
Stach,16,2015.03,2015.03,0,0,0
Stoger,16,1968.52,1968.71,0,0,0
Szalai,16,1985.35,1974.87,0,0,0
Tauer,16,1977.6,1977.6,0,0,0
Widmer,16,2008.22,2024.22,0,0,0
Zentner,16,2031.42,288.904,0,0,0
Aydin,17,1990.98,1990.98,0,0,0
Becker,17,2015.74,2018.97,0,0,0
Bentaleb,17,1978,1978,0,0,0
Boujellab,17,1989.37,1989.37,0,0,0
Bozdogan,17,2024.35,2024.35,0,0,0
Calhanoglu,17,1985.62,1985.62,0,0,0
Fahrmann,17,1997.17,1472.97,0,0,0
Flick,17,1965.82,1965.82,0,0,0
Harit,17,1981.03,1997.48,0,0,0
Hoppe,17,1992.72,1994.19,0,0,0
Huntelaar,17,2009.69,2028.15,0,0,0
Idrizi,17,1958.13,1958.13,0,0,0
Kolasinac,17,1973.41,1973.41,0,0,0
Ludewig,17,1992.82,1992.82,0,0,0
Mascarell,17,1953.56,1953.56,0,0,0
Mendyl,17,2001.64,2005.46,0,0,0
Mercan,17,2012.16,2012.16,0,0,0
Mustafi,17,2000.06,2004.7,0,0,0
Nastasic,17,1982.86,1982.86,0,0,0
Paciencia,17,1973.89,1973.89,0,0,0
Raman,17,1963.41,1963.41,0,0,0
